public_id,name,slug,category,facility_status,stage_of_development,is_live,is_under_construction,longitude,latitude,city,admin_region,country_code,company_id,dcbyte_url
GneyaR,Yizhuang Data Center,yizhuang-data-center,Colocation,Open,live,True,False,116.521405524,39.790066543,Jiugong,Beijing,CN,vWxqjE,https://app.dcbyte.com/property/yizhuang-data-center
GDopnR,Ashburn (VA2) Data Center Campus,vantage-ashburn-(va2)-data-center-campus,Colocation,Open,live,True,False,-77.430415322,38.998030656,Sterling,Virginia,US,b2YA62,https://app.dcbyte.com/property/vantage-ashburn-(va2)-data-center-campus
wOvxrG,Simon House (MCR2),simon-house-(mcr2),Colocation,Open,"live, under_construction",True,True,-2.258439025,53.378605052,Ringway,England,GB,DWJ4G2,https://app.dcbyte.com/property/simon-house-(mcr2)
RxZnZw,,strasbourg,Self-build,Open,live,True,False,7.736426531,48.590709738,Strasbourg,Alsace,FR,,https://app.dcbyte.com/property/strasbourg
B1Xz8w,Warsaw 3,atman-warsaw-3,Colocation,Open,"live, under_construction, committed, early_stage",True,True,20.807453097,52.205494008,Ozarow Mazowiecki,Masovian Voivodeship,PL,q26dwW,https://app.dcbyte.com/property/atman-warsaw-3
RpOxAB,Chachoengsao,chachoengsao-keppel,Colocation,,,False,False,101.333321637,13.611191948,Plaeng Yao,Chachoengsao,TH,vWxDjW,https://app.dcbyte.com/property/chachoengsao-keppel
GDrjpB,BER2,ber2,Colocation,Open,"live, committed",True,False,13.573794082,52.263570566,Mittenwalde,Brandenburg,DE,b2YA62,https://app.dcbyte.com/property/ber2
RjPPnw,,phoenix-data-center,Self-build,Open,live,True,False,-111.826875765,33.355136707,San Carlos,Arizona,US,,https://app.dcbyte.com/property/phoenix-data-center
Gyk1EB,Frosinone 1,seeweb-frosinone-1,Colocation,Open,live,True,False,13.319789406,41.619521524,Frosinone,Latium,IT,0WeD7l,https://app.dcbyte.com/property/seeweb-frosinone-1
RvXo0w,"Sussex Tech, LLC",hourigan-sussex-tech--llc,Colocation,Open,landbanked,False,False,-77.129300776,37.076137381,Waverly,Virginia,US,EjojY2,https://app.dcbyte.com/property/hourigan-sussex-tech--llc
Ga7AXB,,xai-colossus-2,Self-build,Open,"live, committed",True,False,-90.04157506,34.999543584,Southaven,Mississippi,US,,https://app.dcbyte.com/property/xai-colossus-2
wODmoB,Watkins Center South,watkins-center-south,Colocation,Open,landbanked,False,False,-77.689228749,37.500876906,Brandermill,Virginia,US,gEAyLE,https://app.dcbyte.com/property/watkins-center-south
R2Jb4R,Project Hazelnut Lerta,project-hazelnut-lerta,Colocation,Open,landbanked,False,False,-76.054564278,40.968539692,Conyngham,Pennsylvania,US,WG5zL2,https://app.dcbyte.com/property/project-hazelnut-lerta
wo1JbR,Cedar Rapids,qts-datacenters-cedar-rapids,Colocation,Open,"committed, early_stage, under_construction",False,True,-91.756765836,41.908234436,Fairfax,Iowa,US,WVoAxE,https://app.dcbyte.com/property/qts-datacenters-cedar-rapids
